cd_cvm,company_name,issuing_code,nome_pregao,fonte,confianca,ticker_b3,yf_validado
27162,UNIDAS LOCADORA S.A.,UNLC,UNIDAS LOCADORAS S.A.,cvm_code,1.0,,
27189,VOTORANTIM CIMENTOS S.A.,VEBM,VOTORANTIM CIMENTOS S.A.,cvm_code,1.0,,
27197,TURBI COMPARTILHAMENTO DE VEÍCULOS S.A.,TUBI,TURBI COMPARTILHAMENTO DE VEICULOS S/A,cvm_code,1.0,,
27219,GRANJA FARIA S.A.,EGGY,GRANJA FARIA S.A.,cvm_code,1.0,,
27227,ORIGEM ENERGIA S.A.,ORIG,ORIGEM ENERGIA S.A.,cvm_code,1.0,,
27243,CLI SUL S.A.,CLIS,CLI SUL S.A.,cvm_code,1.0,,
27251,INSPIRALI EDUCAÇÃO S.A.,INEL,INSPIRALI EDUCACAO S.A.,cvm_code,1.0,,
27260,CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.,CLII,CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.,cvm_code,1.0,,
27316,"BRAZIL TOWER, CESSÃO DE INFRA-ESTRUTURAS S.A",BTCL,BRAZIL TOWER. CESSÃO DE INFRA-ESTRUTURAS S.A,cvm_code,1.0,,
27324,VOKE S.A.,AGAU,VOKE S.A.,cvm_code,1.0,,
27332,HÉLIO VALGAS SOLAR PARTICIPAÇÕES S.A.,HVSP,HELIO VALGAS SOLAR PARTICIPACOES S.A.,cvm_code,1.0,,
27340,CONSTRUTORA METROCASA S.A.,CMTS,CONSTRUTORA METROCASA S.A.,cvm_code,1.0,,
27383,LET'S RENT A CAR S.A.,LETS,LETS RENT A CAR S/A,cvm_code,1.0,,
27472,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.,ELTN,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A,cvm_code,1.0,,
27499,BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.,TEPA,BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.,cvm_code,1.0,,
27502,GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.,SUMI,GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.,cvm_code,1.0,,
27510,VITAL ENGENHARIA AMBIENTAL S.A.,VTEG,VITAL ENGENHARIA AMBIENTAL SA,cvm_code,1.0,,
27545,ASSURUÁ 4 E 5 HOLDING ENERGIA S.A.,ASSR,ASSURUÁ 4 E 5 HOLDING ENERGIA S.A.,cvm_code,1.0,,
27642,EQUIPAV SANEAMENTO S.A.,AEGE,EQUIPAV SANEAMENTO S.A.,cvm_code,1.0,,
27650,REVEE S.A.,RVEE,REVEE S.A.,cvm_code,1.0,,
27669,CORPÓREOS - SERVIÇOS TERAPÊUTICOS S.A.,CTEP,CORPOREOS SERVICOS TERAPEUTICOS SA,cvm_code,1.0,,
27715,EPR INFRAESTRUTURA PR S.A.,EPRI,EPR INFRAESTRUTURA PR S.A,cvm_code,1.0,,
27740,PRIO FORTE S.A.,PFOR,PRIO FORTE S.A.,cvm_code,1.0,,
27766,UNIÃO PET PARTICIPAÇÕES S.A.,AUAU,UNIÃO PET PARTICIPAÇÕES S.A.,cvm_code,1.0,,
27774,BTG PACTUAL COMMODITIES SERTRADING S.A.,BTCO,BTG PACTUAL COMMODITIES SERTRADING S.A,cvm_code,1.0,,
27804,TERP GLBL BRASIL I PARTICIPAÇÕES S.A.,TGBP,TERP GLBL BRASIL I PARTICIPACOES S.A.,cvm_code,1.0,,
27820,GRUPO SALTA EDUCAÇÃO S.A.,SALT,GRUPO SALTA EDUCAÇÃO S.A.,cvm_code,1.0,,
27839,CPX DISTRIBUIDORA S.A.,CPXD,CPX DISTRIBUIDORA S.A.,cvm_code,1.0,,
27847,TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.,TECG,TECNOGERA LOCACAO O E TRANSFORMACAO DE ENERGIA S.A,cvm_code,1.0,,
27880,HIGHLINE BRASIL II INFRAESTRUTURA DE TELECOMUNICAÇÕES S.A.,HGB9,HIGHLINE BRASIL II INFRAESTRUTURA DE TELECOM,cvm_code,1.0,,
16705,ALEF S/A,FCEF,ACEF S.A.,fuzzy,0.875,,
21202,VIX LOGÍSTICA S/A,VIXL,VIX LOGISTICA S/A,fuzzy,1.0,,
23000,LIGHT ENERGIA S.A,LGTE,LIGHT ENERGIA S.A.,fuzzy,1.0,,
26506,LUPO S.A.,LUFP,LUFT PARTICIPACOES S.A.,fuzzy,0.75,,
27367,LIGGA TELECOMUNICAÇÕES S.A.,CPTM,LIGGA TELECOMUNICACOES S.A.,fuzzy,1.0,,
27430,ALUBAR METAIS E CABOS S.A.,ALMC,ALUBAR METAIS E CABOS S.A.,fuzzy,1.0,,
27731,CONCESSIONÁRIA DA LINHA 4 DO METRÔ DE SÃO PAULO S.A.,CNLM,CONCESSIONARIA DA LINHA 4 DO METRO DE SAO PAULO SA,fuzzy,0.959,,
27944,TUPI ENERGIAS RENOVÁVEIS S.A.,TUPW,TUPI ENERGIAS RENOVAVEIS S.A.,fuzzy,1.0,,
